               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082364,            0.087038,            0.011459,             0.52427,             0.57778,             0.57947,             0.25524,            0.054698,            0.076062,           0.0038367,            0.070071,           0.0033254,           0.0033254
                   1,            0.062194,            0.080315,           0.0033586,             0.58567,             0.65914,             0.69854,             0.38007,            0.048414,            0.073573,           0.0028793,            0.040005,           0.0065928,           0.0065928
                   2,            0.056107,            0.078468,           0.0029474,             0.56318,             0.72361,             0.69754,             0.37045,             0.04741,            0.071304,           0.0024571,           0.0098734,           0.0097942,           0.0097942
                   3,            0.050061,            0.074583,           0.0025011,             0.87238,             0.82089,             0.91693,             0.57852,            0.038757,            0.067898,           0.0019724,            0.009703,            0.009703,            0.009703
                   4,            0.044105,            0.073832,           0.0021143,             0.88183,              0.8376,             0.92558,             0.61449,            0.035339,            0.065621,           0.0017842,            0.009703,            0.009703,            0.009703
                   5,            0.041503,            0.071622,            0.001812,             0.87328,             0.86425,             0.93183,               0.621,            0.033923,            0.066552,           0.0017427,            0.009604,            0.009604,            0.009604
                   6,             0.03929,            0.069762,           0.0016513,             0.88419,             0.85267,             0.93034,             0.63863,            0.031443,            0.063966,           0.0014937,            0.009505,            0.009505,            0.009505
                   7,            0.037884,            0.069379,           0.0015129,             0.89176,             0.85012,             0.93506,             0.66092,            0.029336,             0.06314,           0.0015338,            0.009406,            0.009406,            0.009406
                   8,            0.036846,            0.068177,           0.0014728,             0.89345,             0.85669,             0.93825,             0.65506,            0.030565,            0.062848,           0.0013791,            0.009307,            0.009307,            0.009307
                   9,            0.036186,            0.066776,           0.0013989,             0.88988,              0.8615,             0.93769,             0.67585,            0.028449,            0.061589,           0.0014433,            0.009208,            0.009208,            0.009208
                  10,             0.03501,            0.066862,           0.0012625,             0.90201,             0.86042,             0.94073,             0.67457,            0.028885,            0.061342,           0.0012806,            0.009109,            0.009109,            0.009109
                  11,            0.034465,            0.066095,           0.0012579,             0.89808,             0.87001,             0.94089,             0.68355,            0.027683,            0.060944,           0.0012432,             0.00901,             0.00901,             0.00901
                  12,             0.03439,            0.066044,            0.001219,             0.90695,             0.85917,              0.9415,             0.69589,            0.026375,            0.058988,           0.0012534,            0.008911,            0.008911,            0.008911
                  13,            0.033192,            0.064656,           0.0011431,             0.90156,             0.86122,             0.94214,             0.69395,            0.026781,             0.05936,           0.0012999,            0.008812,            0.008812,            0.008812
                  14,            0.033188,            0.065117,           0.0011365,             0.90391,             0.85959,             0.94008,             0.69572,            0.026791,            0.059174,           0.0012313,            0.008713,            0.008713,            0.008713
                  15,            0.032684,            0.064334,           0.0010928,             0.89841,             0.86842,             0.94248,              0.6887,            0.026747,            0.059035,            0.001325,            0.008614,            0.008614,            0.008614
                  16,            0.032535,            0.063701,            0.001098,             0.91009,             0.85934,             0.94247,             0.69213,            0.025882,            0.058751,           0.0012455,            0.008515,            0.008515,            0.008515
                  17,            0.031672,            0.062599,           0.0010503,             0.90487,             0.86421,             0.94311,             0.70018,            0.026128,            0.058218,           0.0012562,            0.008416,            0.008416,            0.008416
                  18,            0.031396,            0.063534,           0.0010316,             0.90303,             0.86571,             0.94231,              0.7051,            0.025416,            0.058106,           0.0012248,            0.008317,            0.008317,            0.008317
                  19,            0.030959,            0.063028,          0.00099075,             0.90164,             0.86934,             0.94391,             0.70412,            0.025474,            0.057464,           0.0011685,            0.008218,            0.008218,            0.008218
                  20,            0.030849,            0.062023,           0.0009471,             0.89569,             0.86647,             0.93963,             0.70214,            0.025366,            0.059745,           0.0010593,            0.008119,            0.008119,            0.008119
                  21,             0.03084,            0.062136,           0.0009526,             0.90695,             0.86456,             0.94386,             0.71088,            0.025174,            0.058031,           0.0011438,             0.00802,             0.00802,             0.00802
                  22,             0.03057,            0.062569,          0.00093024,             0.90982,             0.85956,             0.94351,             0.70636,            0.024909,            0.057221,           0.0010557,            0.007921,            0.007921,            0.007921
                  23,            0.030009,            0.060839,          0.00090646,             0.90197,             0.87004,             0.94342,              0.7129,            0.024904,            0.056932,           0.0012373,            0.007822,            0.007822,            0.007822
                  24,            0.029626,             0.06115,          0.00092858,             0.91103,             0.86247,             0.94299,             0.71176,             0.02482,            0.056749,           0.0012003,            0.007723,            0.007723,            0.007723
                  25,            0.029139,             0.06056,          0.00088287,             0.90868,             0.86525,             0.94271,             0.71131,            0.024934,            0.056808,           0.0010844,            0.007624,            0.007624,            0.007624
                  26,             0.02943,            0.060833,          0.00088063,             0.90561,             0.86699,             0.94298,              0.7125,            0.024848,             0.05695,           0.0010279,            0.007525,            0.007525,            0.007525
                  27,            0.028728,            0.060753,           0.0008193,             0.90609,              0.8681,             0.94417,             0.71738,            0.024534,            0.056281,            0.001125,            0.007426,            0.007426,            0.007426
                  28,            0.028289,            0.059665,          0.00081207,             0.90727,             0.86758,              0.9443,             0.72032,            0.024235,            0.055922,           0.0010964,            0.007327,            0.007327,            0.007327
                  29,            0.028613,            0.058709,          0.00083288,             0.90205,             0.86923,              0.9438,             0.71652,            0.024419,            0.055874,           0.0010713,            0.007228,            0.007228,            0.007228
                  30,            0.028372,            0.059596,          0.00083068,             0.90158,             0.86712,              0.9429,             0.71984,            0.024169,            0.056192,           0.0010675,            0.007129,            0.007129,            0.007129
                  31,            0.028181,            0.059056,          0.00080113,             0.91514,             0.86017,              0.9448,             0.71942,            0.024066,            0.055873,             0.00103,             0.00703,             0.00703,             0.00703
                  32,            0.028012,            0.059774,          0.00078403,             0.90718,             0.87048,             0.94457,             0.72246,            0.024031,            0.056415,           0.0010871,            0.006931,            0.006931,            0.006931
                  33,            0.027972,            0.059673,          0.00075498,             0.90727,             0.87224,             0.94473,             0.72461,            0.024073,            0.056269,          0.00097978,            0.006832,            0.006832,            0.006832
                  34,            0.027826,            0.058975,          0.00076148,             0.90484,             0.87144,             0.94514,             0.72669,            0.023944,            0.055394,          0.00097368,            0.006733,            0.006733,            0.006733
                  35,            0.027074,            0.057856,          0.00072842,             0.90057,              0.8795,             0.94551,             0.72833,             0.02352,            0.055013,          0.00096479,            0.006634,            0.006634,            0.006634
                  36,            0.027346,            0.057193,          0.00072816,             0.91188,              0.8726,             0.94771,             0.72872,            0.023639,            0.055432,          0.00094471,            0.006535,            0.006535,            0.006535
                  37,            0.027194,             0.05772,          0.00072123,             0.91345,             0.87175,             0.94691,             0.73004,             0.02363,            0.055213,          0.00094039,            0.006436,            0.006436,            0.006436
                  38,            0.026947,            0.056921,          0.00071734,              0.9124,             0.87072,             0.94587,             0.73184,            0.023657,            0.055064,          0.00094937,            0.006337,            0.006337,            0.006337
                  39,            0.027043,            0.058129,          0.00069476,             0.90507,             0.87661,             0.94669,             0.72963,            0.023607,            0.055035,          0.00093162,            0.006238,            0.006238,            0.006238
                  40,            0.026474,            0.056752,           0.0006977,             0.91084,             0.87376,             0.94609,             0.73341,            0.023425,            0.054844,          0.00090959,            0.006139,            0.006139,            0.006139
                  41,            0.026485,            0.056405,          0.00067533,             0.91375,              0.8714,             0.94646,             0.73257,            0.023343,            0.054668,           0.0009961,             0.00604,             0.00604,             0.00604
                  42,            0.026323,            0.056081,          0.00065522,             0.91061,             0.88026,              0.9466,              0.7336,            0.023268,            0.054507,          0.00092845,            0.005941,            0.005941,            0.005941
                  43,            0.026199,            0.056175,          0.00066301,             0.90811,             0.87563,             0.94609,             0.73088,            0.023375,             0.05467,          0.00093331,            0.005842,            0.005842,            0.005842
                  44,             0.02626,            0.056691,          0.00066262,              0.9049,             0.87714,             0.94525,              0.7329,             0.02335,            0.054927,           0.0010051,            0.005743,            0.005743,            0.005743
                  45,            0.025873,            0.055648,          0.00063322,             0.90972,             0.87588,             0.94518,             0.73463,            0.023247,             0.05433,           0.0011265,            0.005644,            0.005644,            0.005644
                  46,            0.025695,            0.056223,          0.00063336,             0.91056,             0.87329,               0.947,             0.73781,            0.023169,            0.054512,           0.0009643,            0.005545,            0.005545,            0.005545
                  47,            0.025584,            0.055763,          0.00067171,             0.91262,              0.8774,              0.9463,             0.73714,            0.023127,             0.05412,           0.0011231,            0.005446,            0.005446,            0.005446
                  48,            0.025722,            0.055656,          0.00063265,             0.91435,             0.87755,             0.94579,             0.73896,            0.023057,            0.054657,           0.0010487,            0.005347,            0.005347,            0.005347
                  49,            0.025679,            0.055523,          0.00062435,             0.90692,             0.87839,             0.94602,             0.73692,            0.022997,            0.054329,           0.0010309,            0.005248,            0.005248,            0.005248
                  50,            0.025315,            0.054758,           0.0006121,             0.91446,             0.87204,             0.94559,             0.74016,            0.023007,              0.0543,          0.00093884,            0.005149,            0.005149,            0.005149
                  51,            0.025034,            0.054661,          0.00057207,              0.9083,             0.87842,             0.94721,             0.73962,            0.023033,            0.054435,          0.00098169,             0.00505,             0.00505,             0.00505
                  52,            0.024966,            0.054351,          0.00058974,             0.91209,             0.87725,             0.94687,             0.74127,            0.022912,            0.053876,          0.00098477,            0.004951,            0.004951,            0.004951
                  53,            0.025094,            0.054472,          0.00054868,             0.91186,             0.87894,             0.94754,             0.74046,            0.023003,            0.053864,          0.00091458,            0.004852,            0.004852,            0.004852
                  54,             0.02489,            0.054056,          0.00055621,             0.91362,             0.88004,              0.9476,              0.7437,            0.022816,            0.053633,          0.00084672,            0.004753,            0.004753,            0.004753
                  55,            0.024916,            0.053763,          0.00056809,             0.90902,             0.87801,             0.94655,             0.74129,            0.022838,             0.05407,          0.00087893,            0.004654,            0.004654,            0.004654
                  56,            0.024672,            0.054315,          0.00054294,             0.91198,             0.87978,             0.94675,             0.74475,            0.022788,            0.053865,          0.00091215,            0.004555,            0.004555,            0.004555
                  57,             0.02461,            0.053379,          0.00054391,             0.91784,             0.87515,             0.94694,             0.74385,            0.022768,            0.053481,          0.00093769,            0.004456,            0.004456,            0.004456
